tipo,codigo
debito,5-1-01-01-01-00
debito,5-1-01-05-00-00
debito,5-1-01-01-01-00
debito,5-1-02-02-00-00
debito,5-1-01-23-00-00
debito,5-1-01-17-00-00
debito,5-1-01-64-01-00
debito,5-1-01-52-00-00
debito,5-1-01-13-00-00
debito,5-1-01-14-00-00
debito,5-1-01-60-00-00
debito,5-1-01-64-05-00
debito,5-1-01-17-00-00
debito,5-1-01-64-03-01
debito,5-1-01-30-01-00
debito,1-4-70-12-14-00
debito,5-1-01-25-00-00
debito,5-1-01-24-00-00
debito,5-1-01-24-00-00
debito,2-4-25-19-02-00
debito,5-1-02-04-01-00
debito,5-1-01-50-00-00
debito,5-1-01-17-00-00
debito,7-2-50-02-12-00
debito,5-1-01-64-05-00
debito,5-1-01-15-00-00
debito,2-4-25-19-02-00
debito,2-4-25-19-02-00
debito,2-4-25-19-02-00
debito,2-4-25-19-02-00
debito,5-1-01-01-01-00
debito,5-1-01-05-00-00
debito,5-1-01-01-01-00
debito,5-1-02-02-00-00
debito,5-1-01-23-00-00
debito,5-1-01-17-00-00
debito,5-1-01-64-01-00
debito,5-1-01-52-00-00
debito,5-1-01-13-00-00
debito,5-1-01-14-00-00
debito,5-1-01-60
debito,5-1-01-13-00-00
debito,5-1-01-64-03-01
debito,5-1-01-25-00-00
debito,5-1-01-64-05-00
debito,5-1-01-25-00-00
debito,5-1-01-24-00-00
debito,5-1-01-24-00-00
debito,5-1-01-01-01-00
debito,5-1-01-64-03-02
debito,5-1-01-03-00-00
debito,2-4-25-21-01-00
debito,5-1-01-03-00-00
debito,5-1-01-52-00-00
debito,2-4-36-16-01-01
debito,5-1-01-13-00-00
debito,5-1-01-17-00-00
debito,5-1-01-14-00-00
debito,2-4-25-18-02-00
debito,1-4-01-04-00-00
debito,5-1-02-01-00-00
debito,2-4-25-18-02-00
debito,2-4-25-19-02-00
debito,2-4-25-19-02-00
debito,2-4-25-46-01-00
debito,2-4-25-19-02-00
debito,5-1-01-64-03-01
debito,5-1-01-64-03-02
debito,5-1-01-64-03-02
debito,5-1-01-64-03-01
debito,5-1-01-50-00-00
debito,5-1-01-18-00-00
debito,5-1-01-18-00-00
debito,5-1-01-01-01-00
debito,7-2-08-03-50-00
debito,2-4-25-19-02-00
debito,2-4-25-46-01-00
debito,2-4-25-19-02-00
debito,2-4-25-19-02-00
debito,2-4-25-18-02-00
debito,5-1-01-13-00-00
debito,5-1-01-17-00-00
debito,5-1-01-14-00-00
debito,5-1-01-50-00-00
debito,5-1-01-52-00-00
debito,5-1-01-17-00-00
debito,5-1-01-64-01-00
debito,5-1-01-64-03-01
debito,5-1-01-05-00-00
debito,5-1-01-03-00-00
debito,5-1-01-64-03-02
debito,5-1-01-18-00-00
debito,5-1-01-01-01-00
debito,5-1-01-64-01-00
debito,5-1-01-64-03-01
debito,5-1-01-05-00-00
debito,5-1-01-60-00-00
debito,5-1-01-23-00-00
debito,5-1-01-52-00-00
debito,5-1-01-50-00-00
debito,2-4-25-90-06-01
debito,5-1-01-64-01-00
debito,5-1-01-52-00-00
debito,5-1-01-13-00-00
debito,5-1-01-15-00-00
debito,5-1-01-17-00-00
debito,5-1-01-50-00-00
debito,5-1-01-52-00-00
debito,5-1-01-64-03-01
debito,5-1-01-64-01-00
debito,5-1-01-01-01-00
debito,5-1-11-90-27-00
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,5-1-11-90-01-00
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-5-05-01-07
debito,2-4-25-90-06-01
debito,5-1-01-03
debito,2-4-25-90-06-01
debito,2-5-05-01-07
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-5-05-01-07
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,2-4-25-22-01-00
credito,2-4-25-23-03-00
credito,2-4-25-23-01-00
credito,5-1-01-05-00-00
credito,2-4-25-22-01-00
credito,5-1-01-01-01-00
credito,2-4-25-21-01-00
credito,2-4-36-16-01-01
credito,2-4-25-23-01-00
credito,1-4-70-12-14-00
credito,2-4-25-23-01-00
credito,2-4-25-24-01-00
credito,2-4-25-22-01-00
credito,5-1-01-64-01-00
credito,5-1-01-52-00-00
credito,2-4-25-23-01-00
credito,5-1-01-17-00-00
credito,5-1-01-25-00-00
credito,2-4-25-35-00-00
credito,2-5-05-01-07
credito,5-1-01-14-00-00
credito,2-4-25-23-01-00
credito,5-1-01-17-00-00
credito,5-1-01-23-00-00
credito,2-4-25-24-01-00
credito,5-1-01-03-00-00
credito,2-4-25-19-02-00
credito,5-1-01-60-00-00
credito,2-4-25-23-03-00
credito,5-1-01-64-03-01
credito,2-4-25-23-01-00
credito,5-1-02-02-00-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-03-00
credito,5-1-01-01-01-00
credito,2-4-25-21-01-00
credito,2-4-25-23-01-00
credito,2-4-25-21-01-00
credito,2-4-25-22-01-00
credito,2-4-25-22-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-03-00
credito,1-4-70-12-66-00
credito,2-4-25-24-01-00
credito,2-4-25-22-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-03-00
credito,2-4-25-23-01-00
credito,1-4-70-12-77-00
credito,2-4-25-35-00-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-24-01-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-23-03-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,5-1-01-15-00-00
credito,2-4-25-46-01-00
credito,2-4-25-22-01-00
credito,2-4-25-24-01-00
credito,2-4-25-23-03-00
credito,2-4-25-35-00-00
credito,2-4-25-24-01-00
credito,1-4-70-90-06-02
credito,2-4-25-21-01-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-24-01-00
credito,2-4-25-23-03-00
credito,2-4-25-22-01-00
credito,2-4-25-35-00-00
credito,2-4-25-46-01-00
credito,2-4-25-19-02-00
credito,5-1-01-01-01-00
credito,2-4-25-19-02-00
credito,1-4-01-04-00-00
credito,2-4-25-19-02-00
credito,2-4-25-23-03-00
credito,2-4-25-22-01-00
credito,2-4-25-22-01-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-19-02-00
credito,5-1-01-01-01-00
credito,2-4-25-24-01-00
credito,2-4-25-23-03-00
credito,2-4-25-19-02-00
credito,2-4-25-19-02-00
credito,2-4-25-18-02-00
credito,2-4-25-46-01-00
credito,2-4-25-46-01-00
credito,2-4-25-18-02-00
credito,2-4-55-90-05-00
credito,2-4-25-24-01-00
credito,2-4-25-35-00-00
credito,2-4-25-21-01-00
credito,2-4-25-46-01-00
credito,2-4-36-16-01-01
credito,2-4-25-35-00-00
credito,2-4-25-19-02-00
credito,2-4-25-35-00-00
credito,5-1-02-02-00-00
credito,2-4-25-22-01-00
credito,1-4-70-90-07-00
credito,2-4-25-35-00-00
credito,2-4-25-24-01-00
credito,2-4-25-22-01-00
credito,2-4-25-35-00-00
credito,2-4-25-24-01-00
credito,2-4-25-24-01-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-24-01-00
credito,2-4-25-35-00-00
credito,2-4-25-24-01-00
credito,2-4-25-35-00-00
credito,2-4-25-23-03-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-21-01-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-23-03-00
credito,2-4-25-23-03-00
credito,2-4-25-23-03-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-21-01-00
credito,2-4-25-21-01-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-24-01-00
credito,2-4-25-24-01-00
credito,2-4-25-21-01-00
credito,2-4-25-24-01-00
credito,5-1-01-30-01-00
credito,2-4-25-24-01-00
credito,2-4-25-23-03-00
credito,2-4-25-21-01-00
credito,2-4-25-23-03-00
credito,2-4-25-24-01-00
credito,2-4-55-90-05-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-35-00-00
credito,2-4-25-23-03-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-55-90-05-00
credito,2-4-25-22-01-00
credito,2-4-25-35-00-00
credito,2-4-25-90-06-01
credito,2-4-25-21-01-00
credito,2-4-25-24-01-00
credito,5-1-02-02-00-00
credito,2-4-25-46-01-00
